seed,ue_id,moved,outage,sinr_base_db,sinr_steer_db,twin_gain_pct,mac_gain_pct,real_gain_pct,gap_vs_mac_pts,fidelity_gap_pts
5,ue25,0,0,10.58,10.58,-33.333,-33.333,-33.333,0.0,0.0
5,ue26,0,0,8.85,8.85,12.5,12.5,12.5,0.0,0.0
5,ue27,0,0,13.28,13.28,20.0,20.0,20.0,-0.0,-0.0
5,ue28,0,0,5.26,5.26,0.0,0.0,0.0,0.0,0.0
5,ue29,1,0,3.03,3.05,200.0,200.0,200.0,0.0,0.0
6,ue0,0,0,6.14,6.14,0.0,0.0,0.0,0.0,0.0
6,ue1,0,0,6.17,6.17,0.0,0.0,0.0,0.0,0.0
6,ue2,0,1,-120.0,-120.0,nan,0.0,0.0,nan,nan
6,ue3,0,0,12.01,12.01,0.0,0.0,0.0,0.0,0.0
6,ue4,0,1,-120.0,-120.0,nan,0.0,0.0,nan,nan
6,ue5,0,0,28.69,28.69,0.0,0.0,0.0,0.0,0.0
6,ue6,0,0,14.24,14.24,0.0,0.0,0.0,0.0,0.0
6,ue7,0,0,10.58,10.58,0.0,0.0,0.0,0.0,0.0
6,ue8,0,0,5.67,5.67,0.0,0.0,0.0,0.0,0.0
6,ue9,0,0,31.75,31.75,0.0,0.0,0.0,0.0,0.0
6,ue10,0,0,15.39,15.39,0.0,0.0,0.0,0.0,0.0
6,ue11,0,0,12.72,12.72,0.0,0.0,0.0,0.0,0.0
6,ue12,0,0,19.36,19.36,0.0,0.0,0.0,0.0,0.0
6,ue13,0,0,31.67,31.67,0.0,0.0,0.0,0.0,0.0
6,ue14,0,0,29.28,29.28,0.0,0.0,0.0,0.0,0.0
6,ue15,1,0,3.49,-1.12,-30.08,-29.524,-20.145,-0.555,-9.934
6,ue16,0,1,-120.0,-120.0,nan,0.0,0.0,nan,nan
6,ue17,0,0,27.79,27.79,0.0,0.0,0.0,0.0,0.0
6,ue18,0,1,-120.0,-120.0,nan,0.0,0.0,nan,nan
6,ue19,0,0,10.87,10.87,0.0,0.0,0.0,0.0,0.0
6,ue20,0,0,13.88,13.88,0.0,0.0,0.0,0.0,0.0
6,ue21,0,0,15.14,15.14,0.0,0.0,0.0,0.0,0.0
6,ue22,0,0,16.48,16.48,0.0,0.0,0.0,0.0,0.0
6,ue23,0,0,7.22,7.22,0.0,0.0,0.0,0.0,0.0
6,ue24,0,0,6.76,6.76,100.0,100.0,100.0,0.0,0.0
6,ue25,0,0,8.98,8.98,0.0,0.0,0.0,0.0,0.0
6,ue26,0,0,6.19,6.19,0.0,0.0,0.0,0.0,0.0
6,ue27,0,1,-120.0,-120.0,nan,0.0,0.0,nan,nan
6,ue28,0,0,12.65,12.65,0.0,0.0,0.0,0.0,0.0
6,ue29,0,0,32.6,32.6,0.0,0.0,0.0,0.0,0.0
7,ue0,0,1,-120.0,-120.0,nan,14.286,14.286,nan,nan
7,ue1,0,0,22.16,22.16,0.0,0.0,0.0,0.0,0.0
7,ue2,0,0,5.57,5.57,0.0,0.0,0.0,0.0,0.0
